Person68;Personx32;true;8.66915582248653;50.572325822486526;VEGAN;32;1;4;7;false;1
Person38;Personx15;true;8.68087643265624;50.579335732656226;VEGAN;15;1;5;9;false;2
Person45;Personx19;true;8.678769443500073;50.57918034350008;VEGAN;19;1;6;8;false;3
Person3;Personx1;true;8.681372017093311;50.5820794170933;VEGAN;1;2;4;9;false;2
Person51;Personx24;true;8.668340710895189;50.583463310895176;VEGAN;24;2;5;7;false;3
Person16;Personx5;true;8.683101670107648;50.584839070107655;VEGAN;5;2;6;9;false;1
Person74;Personx36;true;8.669987238017324;50.585691138017324;VEGAN;36;3;4;9;false;3
Person57;Personx27;true;8.680141420721181;50.59395562072118;VEGAN;27;3;5;8;false;1
Person19;Personx6;true;8.677666037868752;50.593429237868754;VEGAN;6;3;6;7;false;2
Person184;Personx71;true;8.671538236138767;50.57300523613877;VEGAN;71;10;13;16;false;1
Person99;Person236;false;8.661138031574977;50.576691831574976;VEGAN;5924;10;14;18;true;2
Person131;Person150;false;8.672565020199283;50.57914452019928;VEGAN;7748;10;15;17;false;3
Person119;Person157;false;8.685748964106464;50.582358964106454;VEGAN;33356;11;13;18;true;2
Person176;Personx67;true;8.676798741197352;50.58160214119735;VEGAN;67;11;14;16;false;3
Person148;Personx62;true;8.677990515344048;50.58256051534405;VEGAN;62;11;15;18;false;1
Person138;Person235;false;8.669735587270592;50.584974587270594;VEGAN;8440;12;13;18;false;3
Person86;Personx41;true;8.669987238017324;50.585691138017324;VEGAN;41;12;14;17;false;1
Person28;Person124;false;8.678239596150528;50.59166039615053;VEGAN;1684;12;15;16;false;2
Person15;Person10;false;8.719772776126227;50.591925376126234;VEGAN;894;127;130;133;true;1
Person182;Personx70;true;8.707346009513081;50.58878300951308;VEGAN;70;127;131;135;false;2
Person153;Person231;false;8.705518693858256;50.58904869385827;VEGGIE;9126;127;132;134;true;3
Person194;Person205;false;8.69492300060721;50.60530490060721;VEGGIE;33778;128;130;135;true;2
Person58;Person149;false;8.700981703134975;50.588465403134975;VEGAN;3286;128;131;133;true;3
Person172;Person195;false;8.690842318196824;50.58499141819682;VEGGIE;33608;128;132;135;true;1
Person179;Person214;false;8.676411948295385;50.58098194829539;VEGAN;33710;129;130;135;true;3
Person175;Person189;false;8.667047732873854;50.58279563287387;VEGAN;33680;129;131;134;true;1
Person123;Person187;false;8.671548852531592;50.590808852531595;VEGAN;33386;129;132;133;true;2
Person143;Personx60;true;8.708555109865832;50.58999210986583;VEGGIE;60;19;22;25;false;1
Person108;Person161;false;8.696563125142836;50.606945025142835;VEGGIE;6324;19;23;27;true;2
Person109;Personx48;true;8.707162602581494;50.590692602581505;VEGGIE;48;19;24;26;false;3
Person151;Personx63;true;8.7062086633943;50.589738663394314;VEGGIE;63;20;22;27;false;2
Person90;Person202;false;8.705241939354703;50.58915193935471;VEGGIE;5106;20;23;25;false;3
Person101;Person141;false;8.697032225211784;50.58218232521178;VEGGIE;6184;20;24;27;true;1
Person133;Person204;false;8.698584217770424;50.58606791777043;VEGGIE;7870;21;22;27;true;3
Person106;Personx46;true;8.693517538734978;50.587770238734976;VEGGIE;46;21;23;26;false;1
Person180;Personx69;true;8.692885345053302;50.587227745053305;VEGGIE;69;21;24;25;false;2
Person7;Personx3;true;8.661605134221313;50.57631493422131;VEGGIE;3;28;31;34;false;1
Person36;Personx14;true;8.66139991973554;50.577341819735544;VEGGIE;14;28;32;36;false;2
Person26;Personx10;true;8.67299054580773;50.576247145807734;VEGGIE;10;28;33;35;false;3
Person11;Personx4;true;8.681190328226592;50.57991322822659;VEGGIE;4;29;31;36;false;2
Person4;Personx2;true;8.683278559866123;50.58156255986612;VEGGIE;2;29;32;34;false;3
Person33;Personx12;true;8.668840259833873;50.58220355983387;VEGGIE;12;29;33;36;false;1
Person52;Personx25;true;8.669987238017324;50.585691138017324;VEGGIE;25;30;31;36;false;3
Person25;Personx9;true;8.67437965355096;50.585509553550956;VEGGIE;9;30;32;35;false;1
Person40;Personx16;true;8.677676558333479;50.589846758333486;VEGGIE;16;30;33;34;false;2
Person84;Personx40;true;8.682341842315855;50.58123324231586;VEGGIE;40;37;40;43;false;1
Person66;Personx31;true;8.682005004090913;50.58319270409091;VEGGIE;31;37;41;45;false;2
Person70;Personx34;true;8.682240307254789;50.58401170725479;VEGGIE;34;37;42;44;false;3
Person71;Personx35;true;8.681680738784756;50.58466573878476;VEGGIE;35;38;40;45;false;2
Person69;Personx33;true;8.68259769882404;50.58731039882404;VEGGIE;33;38;41;43;false;3
Person91;Personx42;true;8.674675114778584;50.585729414778584;VEGGIE;42;38;42;45;false;1
Person54;Personx26;true;8.673517508857538;50.586979008857526;VEGGIE;26;39;40;45;false;3
Person64;Personx29;true;8.672532995582184;50.58742299558219;VEGGIE;29;39;41;44;false;1
Person65;Personx30;true;8.678955722179989;50.59059052217999;VEGGIE;30;39;42;43;false;2
